filename	id	cellLine	n	a23187	dilution	facetRow	facetCol	temps
data/786 n1/786n1_Ca1uM4h_samp_20x 00016119 613.LMD	1	786-O	1	1	20	r1	c1	4
data/786 n1/786n1_Ca1uM4h_samp_60x 00016122 616.LMD	2	786-O	1	1	60	r1	c2	4
data/786 n1/786n1_Ca1uM4h_samp_100x 00016125 619.LMD	3	786-O	1	1	100	r1	c3	4
data/786 n1/786n1_Ca1uM4h_samp_140x 00016128 622.LMD	4	786-O	1	1	140	r1	c4	4
data/786 n1/786n1_Ca1uM4h_samp_180x 00016131 625.LMD	5	786-O	1	1	180	r1	c5	4
data/786 n1/786n1_Ca1uM4h_samp_220x 00016134 628.LMD	6	786-O	1	1	220	r1	c6	4
data/786 n2/786n2_Ca1uM4h_samp_20x 00016158 632.LMD	7	786-O	2	1	20	r2	c1	4
data/786 n2/786n2_Ca1uM4h_samp_60x 00016161 635.LMD	8	786-O	2	1	60	r2	c2	4
data/786 n2/786n2_Ca1uM4h_samp_100x 00016164 638.LMD	9	786-O	2	1	100	r2	c3	4
data/786 n2/786n2_Ca1uM4h_samp_140x 00016167 641.LMD	10	786-O	2	1	140	r2	c4	4
data/786 n2/786n2_Ca1uM4h_samp_180x 00016170 644.LMD	11	786-O	2	1	180	r2	c5	4
data/786 n2/786n2_Ca1uM4h_samp_220x 00016173 647.LMD	12	786-O	2	1	220	r2	c6	4
data/786 n3/786n3_Ca1uM4h_samp_20x 00016176 650.LMD	13	786-O	3	1	20	r3	c1	4
data/786 n3/786n3_Ca1uM4h_samp_60x 00016179 653.LMD	14	786-O	3	1	60	r3	c2	4
data/786 n3/786n3_Ca1uM4h_samp_100x 00016182 656.LMD	15	786-O	3	1	100	r3	c3	4
data/786 n3/786n3_Ca1uM4h_samp_140x 00016185 659.LMD	16	786-O	3	1	140	r3	c4	4
data/786 n3/786n3_Ca1uM4h_samp_180x 00016188 662.LMD	17	786-O	3	1	180	r3	c5	4
data/786 n3/786n3_Ca1uM4h_samp_220x 00016191 665.LMD	18	786-O	3	1	220	r3	c6	4
data/VHL n1/VHLn1_Ca1uM4h_samp_20x 00016196 670.LMD	19	VHL	1	1	20	r4	c1	4
data/VHL n1/VHLn1_Ca1uM4h_samp_60x 00016199 673.LMD	20	VHL	1	1	60	r4	c2	4
data/VHL n1/VHLn1_Ca1uM4h_samp_100x 00016202 676.LMD	21	VHL	1	1	100	r4	c3	4
data/VHL n1/VHLn1_Ca1uM4h_samp_140x 00016205 679.LMD	22	VHL	1	1	140	r4	c4	4
data/VHL n1/VHLn1_Ca1uM4h_samp_180x 00016208 682.LMD	23	VHL	1	1	180	r4	c5	4
data/VHL n1/VHLn1_Ca1uM4h_samp_220x 00016211 685.LMD	24	VHL	1	1	220	r4	c6	4
data/VHL n2/VHLn2_Ca1uM4h_samp_20x 00016215 689.LMD	25	VHL	2	1	20	r5	c1	4
data/VHL n2/VHLn2_Ca1uM4h_samp_60x 00016218 692.LMD	26	VHL	2	1	60	r5	c2	4
data/VHL n2/VHLn2_Ca1uM4h_samp_100x 00016221 695.LMD	27	VHL	2	1	100	r5	c3	4
data/VHL n2/VHLn2_Ca1uM4h_samp_140x 00016224 698.LMD	28	VHL	2	1	140	r5	c4	4
data/VHL n2/VHLn2_Ca1uM4h_samp_180x 00016227 701.LMD	29	VHL	2	1	180	r5	c5	4
data/VHL n2/VHLn2_Ca1uM4h_samp_220x 00016230 704.LMD	30	VHL	2	1	220	r5	c6	4
data/VHL n3/VHLn3_Ca1uM4h_samp_20x 00016234 708.LMD	31	VHL	3	1	20	r6	c1	4
data/VHL n3/VHLn3_Ca1uM4h_samp_60x 00016237 711.LMD	32	VHL	3	1	60	r6	c2	4
data/VHL n3/VHLn3_Ca1uM4h_samp_100x 00016240 714.LMD	33	VHL	3	1	100	r6	c3	4
data/VHL n3/VHLn3_Ca1uM4h_samp_140x 00016243 717.LMD	34	VHL	3	1	140	r6	c4	4
data/VHL n3/VHLn3_Ca1uM4h_samp_180x 00016246 720.LMD	35	VHL	3	1	180	r6	c5	4
data/VHL n3/VHLn3_Ca1uM4h_samp_220x 00016249 723.LMD	36	VHL	3	1	220	r6	c6	4
